year,station_id,month,day,date,delta_stage_max,discharge,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place
1993,3019,4,118,1993-04-28,9.0,,126.0,122.0,129.0,,"28,15",,,
1993,3019,4,119,1993-04-29,35.0,,154.0,143.0,164.0,,"28,15",,,
1993,3019,4,120,1993-04-30,-34.0,,127.0,124.0,130.0,,15,,,
1993,3019,5,121,1993-05-01,-12.0,,108.0,97.0,118.0,0.0,"9,15",,,
1993,3019,5,122,1993-05-02,-19.0,,96.0,92.0,99.0,0.0,9,,,
1993,3019,5,123,1993-05-03,10.0,,100.0,90.0,109.0,0.6,"9, 8,27",,,
1993,3019,5,124,1993-05-04,35.0,,126.0,108.0,144.0,0.6,8,,,
1997,3019,4,118,1997-04-28,27.0,,403.0,396.0,410.0,2.5,29,,,
1997,3019,4,119,1997-04-29,5.0,,415.0,414.0,415.0,2.6,29,,,
1997,3019,4,120,1997-04-30,0.0,,396.0,377.0,415.0,2.7,29,,,
1997,3019,5,121,1997-05-01,-56.0,,346.0,333.0,359.0,2.8,29,,,
1997,3019,5,122,1997-05-02,-40.0,,310.0,300.0,319.0,2.8,29,,,
1997,3019,5,123,1997-05-03,-19.0,,299.0,297.0,300.0,2.8,29,,,
1997,3019,5,124,1997-05-04,-13.0,,264.0,240.0,287.0,3.4,29,,,
2001,3019,4,118,2001-04-28,19.0,,54.0,46.0,61.0,,"23,16",,,
2001,3019,4,119,2001-04-29,5.0,,64.0,61.0,66.0,,"23,16",,,
2001,3019,4,120,2001-04-30,5.0,,69.0,66.0,71.0,,"23,16",,,
2001,3019,5,121,2001-05-01,6.0,,76.0,74.0,77.0,0.1,"23,16",,,
2001,3019,5,122,2001-05-02,3.0,,80.0,79.0,80.0,0.1,"23,16",,,
2001,3019,5,123,2001-05-03,4.0,,82.0,80.0,84.0,0.1,"23,16",,,
2001,3019,5,124,2001-05-04,7.0,,88.0,84.0,91.0,0.25,"23,16",,,
2012,3019,4,119,2012-04-28,0.0,,54.0,52.0,55.0,0.0,23,,,
2012,3019,4,120,2012-04-29,-3.0,,51.0,49.0,52.0,0.0,23,,,
2012,3019,4,121,2012-04-30,-3.0,,49.0,49.0,49.0,0.0,23,45.0,0.0,1.0
2012,3019,5,122,2012-05-01,0.0,,49.0,49.0,49.0,0.0,23,,,
2012,3019,5,123,2012-05-02,0.0,,48.0,46.0,49.0,0.0,23,,,
2012,3019,5,124,2012-05-03,-5.0,,43.0,42.0,44.0,0.1,23,,,
2012,3019,5,125,2012-05-04,3.0,,46.0,45.0,47.0,0.2,23,,,
1993,3027,4,118,1993-04-28,6.0,,70.0,68.0,71.0,,23,,,
1993,3027,4,119,1993-04-29,6.0,,76.0,74.0,77.0,,23,,,
1993,3027,4,120,1993-04-30,5.0,,81.0,80.0,82.0,,23,,,
1993,3027,5,121,1993-05-01,3.0,,81.0,77.0,85.0,0.0,"23,16",,,
1993,3027,5,122,1993-05-02,-6.0,,79.0,78.0,79.0,0.0,"23,16",,,
1993,3027,5,123,1993-05-03,10.0,,86.0,82.0,89.0,0.1,"23,16",,,
1993,3027,5,124,1993-05-04,5.0,,92.0,89.0,94.0,0.1,"23,16",,,
1997,3027,4,118,1997-04-28,19.0,,362.0,350.0,374.0,0.8,"8,27",,,
1997,3027,4,119,1997-04-29,24.0,,396.0,394.0,398.0,1.5,"8,27",,,
1997,3027,4,120,1997-04-30,-7.0,,389.0,386.0,391.0,1.4,"8,27",,,
1997,3027,5,121,1997-05-01,-14.0,,372.0,367.0,377.0,2.0,"8,27",,,
1997,3027,5,122,1997-05-02,-25.0,,344.0,335.0,352.0,2.5,27,,,
1997,3027,5,123,1997-05-03,46.0,,357.0,316.0,398.0,2.5,27,,,
1997,3027,5,124,1997-05-04,-28.0,,353.0,336.0,370.0,2.6,27,,,
2001,3027,4,118,2001-04-28,1.0,,16.0,16.0,16.0,,16,,,
2001,3027,4,119,2001-04-29,3.0,,18.0,17.0,19.0,,16,,,
2001,3027,4,120,2001-04-30,3.0,,22.0,21.0,22.0,,16,75.0,,1.0
2001,3027,5,121,2001-05-01,1.0,,23.0,22.0,23.0,,16,,,
2001,3027,5,122,2001-05-02,2.0,,25.0,24.0,25.0,,16,,,
2001,3027,5,123,2001-05-03,4.0,,28.0,27.0,29.0,,16,,,
2001,3027,5,124,2001-05-04,3.0,,31.0,30.0,32.0,,16,,,
2004,3027,4,119,2004-04-28,0.0,,32.0,32.0,32.0,,"15,16",,,
2004,3027,4,120,2004-04-29,2.0,,34.0,33.0,34.0,,"15,16",,,
2004,3027,4,121,2004-04-30,2.0,,36.0,35.0,36.0,,"15,16",55.0,9.0,1.0
2004,3027,5,122,2004-05-01,3.0,,38.0,36.0,39.0,0.0,15,,,
2004,3027,5,123,2004-05-02,2.0,,40.0,39.0,41.0,0.0,15,,,
2004,3027,5,124,2004-05-03,1.0,,42.0,41.0,42.0,0.0,15,,,
2004,3027,5,125,2004-05-04,2.0,,43.0,41.0,44.0,0.0,15,,,
2012,3027,4,119,2012-04-28,7.0,,33.0,31.0,34.0,,15,,,
2012,3027,4,120,2012-04-29,4.0,,37.0,36.0,38.0,,15,,,
2012,3027,4,121,2012-04-30,5.0,,42.0,40.0,43.0,,15,,,1.0
2012,3027,5,122,2012-05-01,2.0,,45.0,44.0,45.0,,15,,,
2012,3027,5,123,2012-05-02,2.0,,47.0,46.0,47.0,,15,,,
2012,3027,5,124,2012-05-03,2.0,,48.0,47.0,49.0,,15,,,
2012,3027,5,125,2012-05-04,5.0,,52.0,50.0,54.0,,15,,,
1993,3028,5,121,1993-05-01,84.0,,234.0,230.0,237.0,,47,,,
1993,3028,5,122,1993-05-02,10.0,,245.0,243.0,247.0,,23,,,
1993,3028,5,123,1993-05-03,6.0,,252.0,250.0,253.0,,23,,,
1993,3028,5,124,1993-05-04,9.0,,259.0,255.0,262.0,,23,,,
1997,3028,4,118,1997-04-28,-37.0,,466.0,420.0,512.0,0.9,8,,,
1997,3028,4,119,1997-04-29,33.0,,544.0,543.0,545.0,1.2,8,,,
1997,3028,4,120,1997-04-30,7.0,,551.0,550.0,552.0,1.6,8,,,
1997,3028,5,121,1997-05-01,-4.0,,547.0,546.0,548.0,3.3,29,,,
1997,3028,5,122,1997-05-02,2.0,,550.0,549.0,550.0,3.5,29,,,
1997,3028,5,123,1997-05-03,-25.0,,519.0,512.0,525.0,3.9,29,,,
1997,3028,5,124,1997-05-04,6.0,,516.0,500.0,531.0,4.7,29,,,
2001,3028,4,118,2001-04-28,1.0,,156.0,156.0,156.0,,16,,,
2001,3028,4,119,2001-04-29,12.0,,163.0,158.0,168.0,,16,,,
2001,3028,4,120,2001-04-30,2.0,,169.0,168.0,170.0,,16,97.0,27.0,1.0
2001,3028,5,121,2001-05-01,4.0,,174.0,174.0,174.0,,16,,,
2001,3028,5,122,2001-05-02,3.0,,177.0,176.0,177.0,,16,,,
2001,3028,5,123,2001-05-03,3.0,,179.0,177.0,180.0,,16,,,
2001,3028,5,124,2001-05-04,2.0,,182.0,181.0,182.0,,16,,,
2004,3028,4,119,2004-04-28,1.0,,167.0,167.0,167.0,,16,,,
2004,3028,4,120,2004-04-29,2.0,,169.0,169.0,169.0,,16,,,
2004,3028,4,121,2004-04-30,2.0,,171.0,171.0,171.0,,16,107.0,15.0,1.0
2004,3028,5,122,2004-05-01,3.0,,174.0,173.0,174.0,,16,,,
2004,3028,5,123,2004-05-02,1.0,,175.0,175.0,175.0,,16,,,
2004,3028,5,124,2004-05-03,2.0,,177.0,177.0,177.0,,16,,,
2004,3028,5,125,2004-05-04,4.0,,180.0,179.0,181.0,,16,,,
2012,3028,4,119,2012-04-28,5.0,,176.0,175.0,177.0,,46,,,
2012,3028,4,120,2012-04-29,4.0,,181.0,180.0,181.0,,46,,,
2012,3028,4,121,2012-04-30,2.0,,183.0,182.0,183.0,,46,77.0,25.0,1.0
2012,3028,5,122,2012-05-01,1.0,,184.0,184.0,184.0,,46,,,
2012,3028,5,123,2012-05-02,0.0,,184.0,184.0,184.0,,46,,,
2012,3028,5,124,2012-05-03,2.0,,186.0,185.0,186.0,,46,,,
2012,3028,5,125,2012-05-04,3.0,,189.0,188.0,189.0,,46,,,
1993,3029,4,118,1993-04-28,15.0,1410.0,126.0,122.0,130.0,,47,,,
1993,3029,4,119,1993-04-29,11.0,1460.0,139.0,137.0,141.0,,47,,,
1993,3029,4,120,1993-04-30,15.0,1510.0,153.0,150.0,156.0,,47,100.0,6.0,1.0
1993,3029,5,121,1993-05-01,7.0,1530.0,163.0,162.0,163.0,,47,,,
1993,3029,5,122,1993-05-02,0.0,1480.0,162.0,161.0,163.0,,23,,,
1993,3029,5,123,1993-05-03,8.0,1500.0,170.0,169.0,171.0,,23,,,
1993,3029,5,124,1993-05-04,2.0,1510.0,173.0,173.0,173.0,,23,,,
1997,3029,4,118,1997-04-28,-152.0,8590.0,527.0,503.0,544.0,,"8,27",,,
1997,3029,4,119,1997-04-29,-20.0,8730.0,520.0,514.0,524.0,,"8,27",,,
1997,3029,4,120,1997-04-30,-8.0,8720.0,509.0,502.0,516.0,,"8,27",,,
1997,3029,5,121,1997-05-01,-22.0,8470.0,486.0,477.0,494.0,,"8,27",,,
1997,3029,5,122,1997-05-02,-32.0,7970.0,450.0,438.0,462.0,,"8,27",,,
1997,3029,5,123,1997-05-03,-10.0,7810.0,433.0,414.0,452.0,,"8,27",,,
1997,3029,5,124,1997-05-04,34.0,8410.0,460.0,433.0,486.0,,"9, 8,27",,,
2001,3029,4,118,2001-04-28,7.0,1070.0,87.0,84.0,90.0,,16,,,
2001,3029,4,119,2001-04-29,8.0,1070.0,97.0,96.0,98.0,,16,,,
2001,3029,4,120,2001-04-30,1.0,1080.0,99.0,99.0,99.0,,16,100.0,,1.0
2001,3029,5,121,2001-05-01,3.0,1080.0,101.0,100.0,102.0,,16,,,
2001,3029,5,122,2001-05-02,4.0,1090.0,105.0,104.0,106.0,,16,,,
2001,3029,5,123,2001-05-03,6.0,1090.0,111.0,109.0,112.0,,16,,,
2001,3029,5,124,2001-05-04,16.0,1160.0,123.0,118.0,128.0,,16,,,
2004,3029,4,119,2004-04-28,3.0,940.0,48.0,47.0,48.0,,16,,,
2004,3029,4,120,2004-04-29,3.0,972.0,51.0,50.0,51.0,,16,,,
2004,3029,4,121,2004-04-30,2.0,1000.0,52.0,51.0,53.0,,16,84.0,39.0,1.0
2004,3029,5,122,2004-05-01,5.0,1040.0,58.0,57.0,58.0,,16,,,
2004,3029,5,123,2004-05-02,3.0,1070.0,60.0,59.0,61.0,,16,,,
2004,3029,5,124,2004-05-03,4.0,1100.0,64.0,62.0,65.0,,16,,,
2004,3029,5,125,2004-05-04,5.0,1130.0,69.0,68.0,70.0,,16,,,
2012,3029,4,119,2012-04-28,5.0,1060.0,79.0,77.0,80.0,,46,,,
2012,3029,4,120,2012-04-29,5.0,1110.0,84.0,82.0,85.0,,46,,,
2012,3029,4,121,2012-04-30,5.0,1140.0,88.0,86.0,90.0,,46,73.0,25.0,1.0
2012,3029,5,122,2012-05-01,3.0,1190.0,93.0,92.0,93.0,,15,,,
2012,3029,5,123,2012-05-02,2.0,1250.0,94.0,93.0,95.0,,15,,,
2012,3029,5,124,2012-05-03,5.0,1310.0,99.0,97.0,100.0,,15,,,
2012,3029,5,125,2012-05-04,6.0,1370.0,104.0,102.0,106.0,,15,,,
1993,3030,4,118,1993-04-28,8.0,,85.0,83.0,87.0,,47,,,
1993,3030,4,119,1993-04-29,14.0,,97.0,93.0,101.0,,47,,,
1993,3030,4,120,1993-04-30,8.0,,108.0,107.0,109.0,,47,108.0,10.0,1.0
1993,3030,5,121,1993-05-01,10.0,,116.0,113.0,119.0,,47,,,
1993,3030,5,122,1993-05-02,7.0,,125.0,124.0,126.0,,47,,,
