date,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place,discharge,year,month,day,delta_stage_max,station_id
1985-01-01,-23.0,-23.0,-23.0,0.3504101614647466,16,,,,,1985.0,1.0,1.0,,3019
1985-01-02,-23.0,-23.0,-23.0,0.35044239353565754,16,,,,,1985.0,1.0,2.0,0.0,3019
1985-01-03,-23.0,-23.0,-23.0,0.350361813358381,16,,,,,1985.0,1.0,3.0,0.0,3019
1985-01-04,-24.0,-24.0,-24.0,0.35021676903928345,16,,,,,1985.0,1.0,4.0,-1.0,3019
1985-01-05,-24.0,-24.0,-24.0,0.34993473841881517,16,53.0,29.0,1.0,,1985.0,1.0,5.0,0.0,3019
1985-01-06,-24.0,-24.0,-24.0,0.3496527077983478,16,,,,,1985.0,1.0,6.0,0.0,3019
1985-01-07,-24.0,-24.0,-24.0,0.34936261916015354,16,,,,,1985.0,1.0,7.0,0.0,3019
1985-01-08,-24.0,-24.0,-24.0,0.34900806638013737,16,,,,,1985.0,1.0,8.0,0.0,3019
1985-01-09,-24.0,-24.0,-24.0,0.34862128152921024,16,,,,,1985.0,1.0,9.0,0.0,3019
1985-01-10,-24.0,-24.0,-24.0,0.348137800465552,16,55.0,31.0,1.0,,1985.0,1.0,10.0,0.0,3019
1985-01-11,-24.0,-24.0,-24.0,0.3477590736323535,16,,,,,1985.0,1.0,11.0,0.0,3019
1985-01-12,-24.0,-24.0,-24.0,0.3474367529232465,16,,,,,1985.0,1.0,12.0,0.0,3019
1985-01-13,-24.0,-24.0,-24.0,0.3472272444623288,16,,,,,1985.0,1.0,13.0,0.0,3019
1985-01-14,-25.0,-25.0,-24.0,0.34704996807232114,16,,,,,1985.0,1.0,14.0,0.0,3019
1985-01-15,-26.0,-26.0,-25.0,0.3469290978064059,16,56.0,32.0,1.0,,1985.0,1.0,15.0,-1.0,3019
1985-01-16,-26.0,-26.0,-26.0,0.3468162855582202,16,,,,,1985.0,1.0,16.0,-1.0,3019
1985-01-17,-26.0,-26.0,-26.0,0.3466631832213949,16,,,,,1985.0,1.0,17.0,0.0,3019
1985-01-18,-26.0,-26.0,-26.0,0.3463811526009275,16,,,,,1985.0,1.0,18.0,0.0,3019
1985-01-19,-27.0,-27.0,-26.0,0.346074947927276,16,,,,,1985.0,1.0,19.0,0.0,3019
1985-01-20,-27.0,-27.0,-27.0,0.3457606852359003,16,50.0,36.0,1.0,,1985.0,1.0,20.0,-1.0,3019
1985-01-21,-27.0,-27.0,-27.0,0.34543836452679244,16,,,,,1985.0,1.0,21.0,0.0,3019
1985-01-22,-27.0,-27.0,-27.0,0.34509992778223086,16,,,,,1985.0,1.0,22.0,0.0,3019
1985-01-23,-27.0,-27.0,-27.0,0.34474537500221647,16,,,,,1985.0,1.0,23.0,0.0,3019
1985-01-24,-28.0,-28.0,-27.0,0.3442780099740137,16,,,,,1985.0,1.0,24.0,0.0,3019
1985-01-25,-28.0,-28.0,-28.0,0.34368171666216707,16,57.0,36.0,1.0,,1985.0,1.0,25.0,-1.0,3019
1985-01-26,-28.0,-28.0,-28.0,0.3431418294744164,16,,,,,1985.0,1.0,26.0,0.0,3019
1985-01-27,-28.0,-28.0,-28.0,0.342666406428485,16,,,,,1985.0,1.0,27.0,0.0,3019
1985-01-28,-28.0,-28.0,-28.0,0.3424085498612017,16,,,,,1985.0,1.0,28.0,0.0,3019
1985-01-29,-28.0,-28.0,-28.0,0.3421184612230048,16,,,,,1985.0,1.0,29.0,0.0,3019
1985-01-30,-28.0,-28.0,-28.0,0.34178002447844413,16,,,,,1985.0,1.0,30.0,0.0,3019
1985-01-31,-28.0,-28.0,-28.0,0.34140935566297337,16,58.0,44.0,1.0,,1985.0,1.0,31.0,0.0,3019
1985-02-01,-28.0,-28.0,-28.0,0.3409581066702261,16,,,,,1985.0,2.0,32.0,0.0,3019
1985-02-02,-28.0,-28.0,-28.0,0.3404504515533846,16,,,,,1985.0,2.0,33.0,0.0,3019
1985-02-03,-28.0,-28.0,-28.0,0.3399347384188163,16,,,,,1985.0,2.0,34.0,0.0,3019
1985-02-04,-28.0,-28.0,-28.0,0.33954795356789,16,,,,,1985.0,2.0,35.0,0.0,3019
1985-02-05,-28.0,-28.0,-28.0,0.33915311069923426,16,61.0,43.0,1.0,,1985.0,2.0,36.0,0.0,3019
1985-02-06,-28.0,-28.0,-28.0,0.338766325848308,16,,,,,1985.0,2.0,37.0,0.0,3019
1985-02-07,-28.0,-28.0,-28.0,0.3384278891037473,16,,,,,1985.0,2.0,38.0,0.0,3019
1985-02-08,-28.0,-28.0,-28.0,0.33817003253646316,16,,,,,1985.0,2.0,39.0,0.0,3019
1985-02-09,-28.0,-28.0,-28.0,0.33793635002236044,16,,,,,1985.0,2.0,40.0,0.0,3019
1985-02-10,-28.0,-28.0,-28.0,0.3376140293132561,16,62.0,42.0,1.0,,1985.0,2.0,41.0,0.0,3019
1985-02-11,-27.0,-27.0,-27.0,0.33737228878142567,16,,,,,1985.0,2.0,42.0,1.0,3019
