station_id,date,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place,discharge,year,month,day,delta_stage_max
3048,2016-05-01,,,,,46,,,,,2016,5,122,
3048,2016-05-02,,,,,46,,,,,2016,5,123,
3048,2016-05-03,,,,,46,,,,,2016,5,124,
3048,2016-05-04,,,,,46,,,,,2016,5,125,
3048,2016-05-05,,,,,46,,,,,2016,5,126,
3048,2016-05-06,,,,,46,,,,,2016,5,127,
3048,2016-05-07,209.0,209.0,209.0,0.1,23,,,,,2016,5,128,
3048,2016-05-08,259.0,259.0,259.0,0.6,23,,,,,2016,5,129,50.0
3048,2016-05-09,299.0,299.0,299.0,0.4,23,,,,,2016,5,130,40.0
3048,2016-05-10,315.0,315.0,315.0,0.2,23,,,,,2016,5,131,16.0
3048,2016-05-11,331.0,331.0,331.0,0.2,23,,,,,2016,5,132,16.0
3048,2016-05-12,348.0,341.0,341.0,0.4,23,,,,,2016,5,133,10.0
3048,2016-05-13,371.0,354.0,388.0,0.6,"26,25",,,,,2016,5,134,47.0
3048,2016-05-14,408.0,394.0,420.0,0.4,26,,,,,2016,5,135,32.0
3048,2016-05-15,434.0,423.0,457.0,0.6,"9,26",,,,,2016,5,136,37.0
3048,2016-05-16,502.0,476.0,525.0,0.4,9,,,,,2016,5,137,68.0
3048,2016-05-17,541.0,526.0,561.0,0.2,9,,,,,2016,5,138,36.0
3048,2016-05-18,549.0,544.0,557.0,1.6,"9, 8",,,,,2016,5,139,-4.0
3048,2016-05-19,563.0,569.0,569.0,2.4,8,,,,,2016,5,140,12.0
3048,2016-05-20,614.0,614.0,614.0,1.0,9,,,,,2016,5,141,45.0
3048,2016-05-21,637.0,637.0,637.0,1.2,8,,,,,2016,5,142,23.0
3048,2016-05-22,615.0,615.0,615.0,2.2,29,,,,,2016,5,143,-22.0
3048,2016-05-23,590.0,590.0,590.0,3.0,29,,,,,2016,5,144,-25.0
3048,2016-05-24,575.0,575.0,575.0,3.0,29,,,,,2016,5,145,-15.0
3048,2016-05-25,564.0,564.0,564.0,3.6,29,,,,,2016,5,146,-11.0
3048,2016-05-26,562.0,562.0,562.0,4.0,29,,,,,2016,5,147,-2.0
3048,2016-05-27,570.0,570.0,570.0,4.8,29,,,,,2016,5,148,8.0
3048,2016-05-28,590.0,590.0,590.0,5.0,29,,,,,2016,5,149,20.0
3048,2016-05-29,609.0,609.0,609.0,4.8,29,,,,,2016,5,150,19.0
3048,2016-05-30,636.0,636.0,636.0,6.8,29,,,,,2016,5,151,27.0
3048,2016-05-31,664.0,664.0,664.0,8.4,29,,,,,2016,5,152,28.0
3048,2017-05-01,,,,,46,,,,,2017,5,121,
3048,2017-05-02,,,,,46,,,,,2017,5,122,
3048,2017-05-03,155.0,155.0,155.0,,46,,,,,2017,5,123,
3048,2017-05-04,156.0,156.0,156.0,,46,,,,,2017,5,124,1.0
3048,2017-05-05,169.0,165.0,173.0,,46,,,,,2017,5,125,17.0
3048,2017-05-06,183.0,182.0,184.0,,46,,,,,2017,5,126,11.0
3048,2017-05-07,189.0,187.0,190.0,,46,,,,,2017,5,127,6.0
3048,2017-05-08,194.0,193.0,195.0,,47,,,,,2017,5,128,5.0
3048,2017-05-09,198.0,197.0,199.0,,47,,,,,2017,5,129,4.0
3048,2017-05-10,202.0,201.0,203.0,,47,,,,,2017,5,130,4.0
3048,2017-05-11,208.0,206.0,210.0,,47,,,,,2017,5,131,7.0
3048,2017-05-12,220.0,215.0,225.0,,47,,,,,2017,5,132,15.0
3048,2017-05-13,241.0,235.0,246.0,,47,,,,,2017,5,133,21.0
3048,2017-05-14,260.0,256.0,264.0,,47,,,,,2017,5,134,18.0
3048,2017-05-15,289.0,278.0,300.0,,47,,,,,2017,5,135,36.0
3048,2017-05-16,319.0,315.0,322.0,,47,,,,,2017,5,136,22.0
3048,2017-05-17,368.0,334.0,374.0,,23,,,,,2017,5,137,52.0
3048,2017-05-18,549.0,444.0,657.0,,23,,,,,2017,5,138,283.0
3048,2017-05-19,757.0,696.0,857.0,,"26,25",,,,,2017,5,139,200.0
3048,2017-05-20,790.0,760.0,812.0,,26,,,,,2017,5,140,-45.0
3048,2017-05-21,707.0,643.0,754.0,,"8,26",,,,,2017,5,141,-58.0
3048,2017-05-22,692.0,587.0,762.0,,8,,,,,2017,5,142,8.0
3048,2017-05-23,740.0,730.0,743.0,,8,,,,,2017,5,143,-19.0
3048,2017-05-24,714.0,712.0,715.0,,8,,,,,2017,5,144,-28.0
3048,2017-05-25,700.0,699.0,700.0,,29,,,,,2017,5,145,-15.0
3048,2017-05-26,696.0,694.0,698.0,,29,,,,,2017,5,146,-2.0
3048,2017-05-27,656.0,625.0,687.0,,29,,,,,2017,5,147,-11.0
3048,2017-05-28,606.0,598.0,613.0,,29,,,,,2017,5,148,-74.0
3048,2017-05-29,574.0,561.0,586.0,,29,,,,,2017,5,149,-27.0
3048,2017-05-30,571.0,568.0,573.0,,29,,,,,2017,5,150,-13.0
3048,2017-05-31,559.0,556.0,561.0,,29,,,,,2017,5,151,-12.0
3048,2018-05-01,,,,,46,,,,,2018,5,121,
3048,2018-05-02,,,,,46,,,,,2018,5,122,
3048,2018-05-03,174.0,172.0,176.0,,46,,,,,2018,5,123,
3048,2018-05-04,178.0,177.0,179.0,,46,,,,,2018,5,124,3.0
3048,2018-05-05,186.0,182.0,189.0,,46,,,,,2018,5,125,10.0
3048,2018-05-06,210.0,204.0,215.0,,46,,,,,2018,5,126,26.0
3048,2018-05-07,240.0,227.0,253.0,,46,,,,,2018,5,127,38.0
3048,2018-05-08,280.0,270.0,289.0,,23,,,,,2018,5,128,36.0
3048,2018-05-09,337.0,321.0,352.0,,23,,,,,2018,5,129,63.0
3048,2018-05-10,396.0,388.0,404.0,,23,,,,,2018,5,130,52.0
3048,2018-05-11,439.0,429.0,449.0,,23,,,,,2018,5,131,45.0
3048,2018-05-12,484.0,470.0,497.0,,23,,,,,2018,5,132,48.0
3048,2018-05-13,546.0,527.0,553.0,,23,,,,,2018,5,133,56.0
3048,2018-05-14,605.0,571.0,651.0,,"26,25",,,,,2018,5,134,98.0
3048,2018-05-15,669.0,654.0,679.0,,26,,,,,2018,5,135,28.0
3048,2018-05-16,738.0,685.0,843.0,,9,,,,,2018,5,136,164.0
3048,2018-05-17,832.0,802.0,847.0,,9,,,,,2018,5,137,4.0
3048,2018-05-18,764.0,731.0,790.0,,9,,,,,2018,5,138,-57.0
3048,2018-05-19,716.0,694.0,731.0,,9,,,,,2018,5,139,-59.0
3048,2018-05-20,721.0,709.0,768.0,,8,,,,,2018,5,140,37.0
3048,2018-05-21,787.0,770.0,798.0,,8,,,,,2018,5,141,30.0
3048,2018-05-22,754.0,710.0,782.0,,8,,,,,2018,5,142,-16.0
3048,2018-05-23,687.0,661.0,693.0,,8,,,,,2018,5,143,-89.0
3048,2018-05-24,635.0,635.0,635.0,,8,,,,,2018,5,144,-58.0
3048,2018-05-25,624.0,618.0,629.0,,29,,,,,2018,5,145,-6.0
3048,2018-05-26,607.0,605.0,608.0,,29,,,,,2018,5,146,-21.0
3048,2018-05-27,609.0,607.0,610.0,,29,,,,,2018,5,147,2.0
3048,2018-05-28,624.0,621.0,627.0,,29,,,,,2018,5,148,17.0
3048,2018-05-29,641.0,637.0,644.0,,29,,,,,2018,5,149,17.0
3048,2018-05-30,645.0,644.0,646.0,,29,,,,,2018,5,150,2.0
3048,2018-05-31,643.0,642.0,643.0,,29,,,,,2018,5,151,-3.0
3048,2019-05-01,,,,,0,,,,,2019,5,121,
3048,2019-05-02,,,,,0,,,,,2019,5,122,
3048,2019-05-03,174.0,172.0,176.0,,46,,,,,2019,5,123,
3048,2019-05-04,178.0,177.0,179.0,,46,,,,,2019,5,124,3.0
3048,2019-05-05,186.0,182.0,189.0,,46,,,,,2019,5,125,10.0
3048,2019-05-06,210.0,204.0,215.0,,46,,,,,2019,5,126,26.0
3048,2019-05-07,240.0,227.0,253.0,,23,,,,,2019,5,127,38.0
3048,2019-05-08,280.0,270.0,289.0,,23,,,,,2019,5,128,36.0
3048,2019-05-09,337.0,321.0,352.0,,23,,,,,2019,5,129,63.0
3048,2019-05-10,396.0,388.0,404.0,,25,,,,,2019,5,130,52.0
3048,2019-05-11,439.0,429.0,449.0,,25,,,,,2019,5,131,45.0
3048,2019-05-12,484.0,470.0,497.0,,25,,,,,2019,5,132,48.0
3048,2019-05-13,545.0,527.0,553.0,,25,,,,,2019,5,133,56.0
3048,2019-05-14,604.0,565.0,643.0,,26,,,,,2019,5,134,90.0
3048,2019-05-15,669.0,651.0,679.0,,26,,,,,2019,5,135,36.0
3048,2019-05-16,738.0,679.0,843.0,,"9,26",,,,,2019,5,136,164.0
3048,2019-05-17,832.0,813.0,847.0,,9,,,,,2019,5,137,4.0
3048,2019-05-18,764.0,740.0,802.0,,9,,,,,2019,5,138,-45.0
3048,2019-05-19,716.0,694.0,731.0,,8,,,,,2019,5,139,-71.0
3048,2019-05-20,721.0,709.0,742.0,,8,,,,,2019,5,140,11.0
3048,2019-05-21,785.0,768.0,798.0,,8,,,,,2019,5,141,56.0
3048,2019-05-22,748.0,727.0,768.0,,8,,,,,2019,5,142,-30.0
3048,2019-05-23,677.0,661.0,693.0,,8,,,,,2019,5,143,-75.0
3048,2019-05-24,635.0,635.0,635.0,,8,,,,,2019,5,144,-58.0
3048,2019-05-25,624.0,618.0,629.0,,29,,,,,2019,5,145,-6.0
3048,2019-05-26,607.0,605.0,608.0,,29,,,,,2019,5,146,-21.0
3048,2019-05-27,609.0,607.0,610.0,,29,,,,,2019,5,147,2.0
3048,2019-05-28,624.0,621.0,627.0,,29,,,,,2019,5,148,17.0
3048,2019-05-29,641.0,637.0,644.0,,29,,,,,2019,5,149,17.0
3048,2019-05-30,645.0,644.0,646.0,,29,,,,,2019,5,150,2.0
3048,2019-05-31,643.0,642.0,643.0,,29,,,,,2019,5,151,-3.0
