date,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place,discharge,year,month,day,delta_stage_max,station_id
1985-01-01,142.0,142.0,142.0,0.19314550358262395,16,,,,,1985.0,1.0,1.0,,3037
1985-01-02,138.0,138.0,138.0,0.19341947618536448,16,,,,,1985.0,1.0,2.0,-4.0,3037
1985-01-03,134.0,134.0,134.0,0.19343559222081907,16,,,,,1985.0,1.0,3.0,-4.0,3037
1985-01-04,129.0,129.0,129.0,0.19337918609672577,16,,,,,1985.0,1.0,4.0,-5.0,3037
1985-01-05,127.0,127.0,127.0,0.19327443186626603,16,,,,,1985.0,1.0,5.0,-2.0,3037
1985-01-06,124.0,124.0,124.0,0.1932502578130837,16,,,,,1985.0,1.0,6.0,-3.0,3037
1985-01-07,122.0,122.0,122.0,0.1931777356535349,16,,,,,1985.0,1.0,7.0,-2.0,3037
1985-01-08,118.0,118.0,118.0,0.19300851728125323,16,,,,,1985.0,1.0,8.0,-4.0,3037
1985-01-09,114.0,114.0,114.0,0.19279095080260777,16,,,,,1985.0,1.0,9.0,-4.0,3037
1985-01-10,114.0,114.0,114.0,0.19276677674942544,16,82.0,22.0,1.0,,1985.0,1.0,10.0,0.0,3037
1985-01-11,113.0,113.0,113.0,0.1925492102707791,16,,,,,1985.0,1.0,11.0,-1.0,3037
1985-01-12,112.0,112.0,112.0,0.19243639802259072,16,,,,,1985.0,1.0,12.0,-1.0,3037
1985-01-13,110.0,110.0,110.0,0.19231552775667815,16,,,,,1985.0,1.0,13.0,-2.0,3037
1985-01-14,108.0,108.0,108.0,0.19217048343758059,16,,,,,1985.0,1.0,14.0,-2.0,3037
1985-01-15,106.0,106.0,106.0,0.1920173811007544,16,,,,,1985.0,1.0,15.0,-2.0,3037
1985-01-16,105.0,105.0,105.0,0.19184010471074675,16,,,,,1985.0,1.0,16.0,-1.0,3037
1985-01-17,105.0,105.0,105.0,0.19169506039164919,16,,,,,1985.0,1.0,17.0,0.0,3037
1985-01-18,104.0,104.0,104.0,0.19142108778890954,16,,,,,1985.0,1.0,18.0,-1.0,3037
1985-01-19,103.0,103.0,103.0,0.19097789681388821,16,,,,,1985.0,1.0,19.0,-1.0,3037
1985-01-20,102.0,102.0,102.0,0.19056693790977963,16,89.0,24.0,1.0,,1985.0,1.0,20.0,-1.0,3037
1985-01-21,96.0,96.0,96.0,0.19024461720067265,16,,,,,1985.0,1.0,21.0,-6.0,3037
1985-01-22,91.0,91.0,91.0,0.1898981224383851,16,,,,,1985.0,1.0,22.0,-5.0,3037
1985-01-23,87.0,87.0,87.0,0.18955968569382442,16,,,,,1985.0,1.0,23.0,-4.0,3037
1985-01-24,84.0,84.0,84.0,0.18927765507335792,16,,,,,1985.0,1.0,24.0,-3.0,3037
1985-01-25,79.0,79.0,79.0,0.1889875664351628,16,,,,,1985.0,1.0,25.0,-5.0,3037
1985-01-26,75.0,75.0,75.0,0.1887780579742433,16,,,,,1985.0,1.0,26.0,-4.0,3037
1985-01-27,69.0,69.0,69.0,0.18852825942468687,16,,,,,1985.0,1.0,27.0,-6.0,3037
1985-01-28,62.0,62.0,62.0,0.1883106929460414,16,,,,,1985.0,1.0,28.0,-7.0,3037
1985-01-29,57.0,57.0,57.0,0.18803672034330088,16,,,,,1985.0,1.0,29.0,-5.0,3037
1985-01-30,54.0,54.0,54.0,0.18770634161646704,16,,,,,1985.0,1.0,30.0,-3.0,3037
1985-01-31,52.0,52.0,52.0,0.1872792666769021,16,106.0,27.0,1.0,,1985.0,1.0,31.0,-2.0,3037
1985-02-01,48.0,48.0,48.0,0.18690053984370358,16,,,,,1985.0,2.0,32.0,-4.0,3037
1985-02-02,46.0,46.0,46.0,0.1865218130105042,16,,,,,1985.0,2.0,33.0,-2.0,3037
1985-02-03,44.0,44.0,44.0,0.18613502815957883,16,,,,,1985.0,2.0,34.0,-2.0,3037
1985-02-04,43.0,43.0,43.0,0.18564348907819195,16,,,,,1985.0,2.0,35.0,-1.0,3037
1985-02-05,41.0,41.0,41.0,0.18522447215635474,16,,,,,1985.0,2.0,36.0,-2.0,3037
1985-02-06,40.0,40.0,40.0,0.18478933919906293,16,,,,,1985.0,2.0,37.0,-1.0,3037
1985-02-07,40.0,40.0,40.0,0.18437032227722572,16,,,,,1985.0,2.0,38.0,0.0,3037
1985-02-08,39.0,39.0,39.0,0.18391907328447754,16,,,,,1985.0,2.0,39.0,-1.0,3037
1985-02-09,39.0,39.0,39.0,0.18345170825627477,16,,,,,1985.0,2.0,40.0,0.0,3037
1985-02-10,38.0,38.0,38.0,0.18310521349398545,16,115.0,29.0,1.0,,1985.0,2.0,41.0,-1.0,3037
1985-02-11,38.0,38.0,38.0,0.18282318287351895,16,,,,,1985.0,2.0,42.0,0.0,3037
1985-02-12,38.0,38.0,38.0,0.18251697819986834,16,,,,,1985.0,2.0,43.0,0.0,3037
1985-02-13,37.0,37.0,37.0,0.18219465749076225,16,,,,,1985.0,2.0,44.0,-1.0,3037
1985-02-14,37.0,37.0,37.0,0.18187233678165793,16,,,,,1985.0,2.0,45.0,0.0,3037
1985-02-15,37.0,37.0,37.0,0.1816547703030107,16,,,,,1985.0,2.0,46.0,0.0,3037
1985-02-16,36.0,36.0,36.0,0.1813324495939055,16,,,,,1985.0,2.0,47.0,-1.0,3037
1985-02-17,36.0,36.0,36.0,0.18105847699116495,16,,,,,1985.0,2.0,48.0,0.0,3037
1985-02-18,35.0,35.0,35.0,0.18080062042388167,16,,,,,1985.0,2.0,49.0,-1.0,3037
1985-02-19,35.0,35.0,35.0,0.18055082187432525,16,,,,,1985.0,2.0,50.0,0.0,3037
1985-02-20,35.0,35.0,35.0,0.18030908134249568,16,120.0,31.0,1.0,,1985.0,2.0,51.0,0.0,3037
1985-02-21,35.0,35.0,35.0,0.17998676063339047,16,,,,,1985.0,2.0,52.0,0.0,3037
1985-02-22,35.0,35.0,35.0,0.17966443992428438,16,,,,,1985.0,2.0,53.0,0.0,3037
1985-02-23,35.0,35.0,35.0,0.1794226993924557,16,,,,,1985.0,2.0,54.0,0.0,3037
1985-02-24,35.0,35.0,35.0,0.17909232066562186,16,,,,,1985.0,2.0,55.0,0.0,3037
1985-02-25,34.0,34.0,34.0,0.17886669616924777,16,,,,,1985.0,2.0,56.0,-1.0,3037
1985-02-26,34.0,34.0,34.0,0.17865718770832828,16,,,,,1985.0,2.0,57.0,0.0,3037
1985-02-27,34.0,34.0,34.0,0.17843156321195508,16,,,,,1985.0,2.0,58.0,0.0,3037
1985-02-28,34.0,34.0,34.0,0.1781737066446718,16,122.0,32.0,1.0,,1985.0,2.0,59.0,0.0,3037
1985-03-01,31.0,31.0,31.0,0.17782721188238337,16,,,,,1985.0,3.0,60.0,-3.0,3037
1985-03-02,31.0,31.0,31.0,0.17744042703145535,16,,,,,1985.0,3.0,61.0,0.0,3037
1985-03-03,31.0,31.0,31.0,0.1770939322691678,16,,,,,1985.0,3.0,62.0,0.0,3037
1985-03-04,30.0,30.0,30.0,0.17670714741823978,16,,,,,1985.0,3.0,63.0,-1.0,3037
1985-03-05,30.0,30.0,30.0,0.1763123045495858,16,,,,,1985.0,3.0,64.0,0.0,3037
1985-03-06,29.0,29.0,29.0,0.17586911357456536,16,,,,,1985.0,3.0,65.0,-1.0,3037
1985-03-07,29.0,29.0,29.0,0.17540980656409033,16,,,,,1985.0,3.0,66.0,0.0,3037
1985-03-08,28.0,28.0,28.0,0.17497467360679764,16,,,,,1985.0,3.0,67.0,-1.0,3037
1985-03-09,28.0,28.0,28.0,0.17457983073814365,16,,,,,1985.0,3.0,68.0,0.0,3037
1985-03-10,27.0,27.0,27.0,0.17424139399358385,16,123.0,32.0,1.0,,1985.0,3.0,69.0,-1.0,3037
1985-03-11,27.0,27.0,27.0,0.17393518931993146,16,,,,,1985.0,3.0,70.0,0.0,3037
1985-03-12,26.0,26.0,26.0,0.17362092662855488,16,,,,,1985.0,3.0,71.0,-1.0,3037
1985-03-13,26.0,26.0,26.0,0.17331472195490516,16,,,,,1985.0,3.0,72.0,0.0,3037
1985-03-14,25.0,25.0,25.0,0.1729440531394335,16,,,,,1985.0,3.0,73.0,-1.0,3037
1985-03-15,25.0,25.0,25.0,0.17248474612895848,16,,,,,1985.0,3.0,74.0,0.0,3037
1985-03-16,24.0,24.0,24.0,0.17207378722484812,16,,,,,1985.0,3.0,75.0,-1.0,3037
1985-03-17,24.0,24.0,24.0,0.17163865426755542,16,,,,,1985.0,3.0,76.0,0.0,3037
1985-03-18,23.0,23.0,23.0,0.1711793472570795,16,,,,,1985.0,3.0,77.0,-1.0,3037
1985-03-19,23.0,23.0,23.0,0.17060722799841788,16,,,,,1985.0,3.0,78.0,0.0,3037
1985-03-20,23.0,23.0,23.0,0.1699303545092974,16,125.0,33.0,1.0,,1985.0,3.0,79.0,0.0,3037
1985-03-21,23.0,23.0,23.0,0.16923736498471964,16,,,,,1985.0,3.0,80.0,0.0,3037
1985-03-22,23.0,23.0,23.0,0.16861689761969068,16,,,,,1985.0,3.0,81.0,0.0,3037
1985-03-23,23.0,23.0,23.0,0.16806089439648364,16,,,,,1985.0,3.0,82.0,0.0,3037
1985-03-24,23.0,23.0,23.0,0.16760158738600772,16,,,,,1985.0,3.0,83.0,0.0,3037
1985-03-25,23.0,23.0,23.0,0.16719062848189914,16,,,,,1985.0,3.0,84.0,0.0,3037
1985-03-26,23.0,23.0,23.0,0.16686024975506442,16,,,,,1985.0,3.0,85.0,0.0,3037
1985-03-27,23.0,23.0,23.0,0.16652987102823325,16,,,,,1985.0,3.0,86.0,0.0,3037
1985-03-28,23.0,23.0,23.0,0.16620755031912626,16,,,,,1985.0,3.0,87.0,0.0,3037
1985-03-29,23.0,23.0,23.0,0.16597386780502443,16,,,,,1985.0,3.0,88.0,0.0,3037
1985-03-30,23.0,23.0,23.0,0.1657240692554689,16,,,,,1985.0,3.0,89.0,0.0,3037
1985-03-31,23.0,23.0,23.0,0.16543398061727377,16,126.0,32.0,1.0,,1985.0,3.0,90.0,0.0,3037
1985-04-01,23.0,23.0,23.0,0.16514389197907864,16,,,,,1985.0,4.0,91.0,0.0,3037
1985-04-02,24.0,23.0,24.0,0.16480545523451795,16,,,,,1985.0,4.0,92.0,1.0,3037
1985-04-03,24.0,24.0,24.0,0.16444284443677404,16,,,,,1985.0,4.0,93.0,0.0,3037
1985-04-04,24.0,24.0,24.0,0.1641527557985789,16,,,,,1985.0,4.0,94.0,0.0,3037
1985-04-05,24.0,24.0,24.0,0.16385460914265693,16,,,,,1985.0,4.0,95.0,0.0,3037
1985-04-06,25.0,25.0,25.0,0.16351617239809535,16,,,,,1985.0,4.0,96.0,1.0,3037
1985-04-07,25.0,25.0,25.0,0.16316161961808007,16,,,,,1985.0,4.0,97.0,0.0,3037
1985-04-08,25.0,25.0,25.0,0.16285541494442946,16,,,,,1985.0,4.0,98.0,0.0,3037
1985-04-09,25.0,25.0,25.0,0.1625975583771444,16,,,,,1985.0,4.0,99.0,0.0,3037
1985-04-10,26.0,25.0,26.0,0.1623880499162258,16,127.0,31.0,1.0,,1985.0,4.0,100.0,1.0,3037
1985-04-11,29.0,27.0,30.0,0.16216242541985082,16,,,,,1985.0,4.0,101.0,4.0,3037
1985-04-12,31.0,31.0,31.0,0.16192874290575077,16,,,,,1985.0,4.0,102.0,1.0,3037
1985-04-13,31.0,31.0,31.0,0.16162253823210015,16,,,,,1985.0,4.0,103.0,0.0,3037
1985-04-14,31.0,31.0,31.0,0.1612921595052672,16,,,,,1985.0,4.0,104.0,0.0,3037
