year,station_id,month,day,date,delta_stage_max,discharge,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place
1993,3019,5,132,1993-05-12,3.0,,143.0,143.0,143.0,4.6,29,,,
1993,3019,5,133,1993-05-13,-2.0,,140.0,139.0,141.0,4.8,29,,,
1993,3019,5,134,1993-05-14,-9.0,,129.0,126.0,132.0,5.5,29,,,
1993,3019,5,135,1993-05-15,-11.0,,119.0,117.0,121.0,5.4,29,,,
1993,3019,5,136,1993-05-16,-2.0,,118.0,117.0,119.0,5.7,29,,,
1993,3019,5,137,1993-05-17,14.0,,129.0,125.0,133.0,6.2,29,,,
1993,3019,5,138,1993-05-18,9.0,,140.0,137.0,142.0,7.2,29,,,
1997,3019,5,132,1997-05-12,84.0,,301.0,280.0,321.0,6.0,29,,,
1997,3019,5,133,1997-05-13,25.0,,334.0,322.0,346.0,6.6,29,,,
1997,3019,5,134,1997-05-14,0.0,,342.0,338.0,346.0,6.3,29,,,
1997,3019,5,135,1997-05-15,-13.0,,325.0,317.0,333.0,6.5,29,,,
1997,3019,5,136,1997-05-16,-16.0,,301.0,285.0,317.0,6.8,29,,,
1997,3019,5,137,1997-05-17,-45.0,,263.0,254.0,272.0,7.3,29,,,
1997,3019,5,138,1997-05-18,-29.0,,238.0,232.0,243.0,7.7,29,,,
2001,3019,5,132,2001-05-12,252.0,,453.0,395.0,510.0,0.2,9,,,
2001,3019,5,133,2001-05-13,162.0,,629.0,600.0,672.0,0.4,9,,,
2001,3019,5,134,2001-05-14,57.0,,706.0,679.0,729.0,0.65,9,,,
2001,3019,5,135,2001-05-15,8.0,,736.0,733.0,737.0,1.0,"9, 8",,,
2001,3019,5,136,2001-05-16,0.0,,734.0,730.0,737.0,1.4,"8,29",,,
2001,3019,5,137,2001-05-17,-8.0,,727.0,723.0,729.0,1.85,29,,,
2001,3019,5,138,2001-05-18,-6.0,,718.0,707.0,723.0,2.7,29,,,
2012,3019,5,133,2012-05-12,-52.0,,487.0,482.0,492.0,2.3,29,,,
2012,3019,5,134,2012-05-13,-25.0,,435.0,402.0,467.0,1.9,29,,,
2012,3019,5,135,2012-05-14,-76.0,,384.0,376.0,391.0,3.1,29,,,
2012,3019,5,136,2012-05-15,-41.0,,336.0,322.0,350.0,3.5,29,,,
2012,3019,5,137,2012-05-16,-35.0,,314.0,312.0,315.0,4.2,29,,,
2012,3019,5,138,2012-05-17,4.0,,315.0,310.0,319.0,4.6,29,,,
