,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place,discharge,year,month,day,delta_stage_max,station_id
1985-01-01,142.0,142.0,142.0,,16,,,,,1985.0,1.0,1.0,,3037
1985-01-02,138.0,138.0,138.0,,16,,,,,1985.0,1.0,2.0,-4.0,3037
1985-01-03,134.0,134.0,134.0,,16,,,,,1985.0,1.0,3.0,-4.0,3037
1985-01-04,129.0,129.0,129.0,,16,,,,,1985.0,1.0,4.0,-5.0,3037
1985-01-05,127.0,127.0,127.0,,16,,,,,1985.0,1.0,5.0,-2.0,3037
1985-01-06,124.0,124.0,124.0,,16,,,,,1985.0,1.0,6.0,-3.0,3037
1985-01-07,122.0,122.0,122.0,,16,,,,,1985.0,1.0,7.0,-2.0,3037
1985-01-08,118.0,118.0,118.0,,16,,,,,1985.0,1.0,8.0,-4.0,3037
1985-01-09,114.0,114.0,114.0,,16,,,,,1985.0,1.0,9.0,-4.0,3037
1985-01-10,114.0,114.0,114.0,,16,82.0,22.0,1.0,,1985.0,1.0,10.0,0.0,3037
1985-01-11,113.0,113.0,113.0,,16,,,,,1985.0,1.0,11.0,-1.0,3037
1985-01-12,112.0,112.0,112.0,,16,,,,,1985.0,1.0,12.0,-1.0,3037
1985-01-13,110.0,110.0,110.0,,16,,,,,1985.0,1.0,13.0,-2.0,3037
1985-01-14,108.0,108.0,108.0,,16,,,,,1985.0,1.0,14.0,-2.0,3037
1985-01-15,106.0,106.0,106.0,,16,,,,,1985.0,1.0,15.0,-2.0,3037
1985-01-16,105.0,105.0,105.0,,16,,,,,1985.0,1.0,16.0,-1.0,3037
1985-01-17,105.0,105.0,105.0,,16,,,,,1985.0,1.0,17.0,0.0,3037
1985-01-18,104.0,104.0,104.0,,16,,,,,1985.0,1.0,18.0,-1.0,3037
1985-01-19,103.0,103.0,103.0,,16,,,,,1985.0,1.0,19.0,-1.0,3037
1985-01-20,102.0,102.0,102.0,,16,89.0,24.0,1.0,,1985.0,1.0,20.0,-1.0,3037
1985-01-21,96.0,96.0,96.0,,16,,,,,1985.0,1.0,21.0,-6.0,3037
1985-01-22,91.0,91.0,91.0,,16,,,,,1985.0,1.0,22.0,-5.0,3037
1985-01-23,87.0,87.0,87.0,,16,,,,,1985.0,1.0,23.0,-4.0,3037
1985-01-24,84.0,84.0,84.0,,16,,,,,1985.0,1.0,24.0,-3.0,3037
1985-01-25,79.0,79.0,79.0,,16,,,,,1985.0,1.0,25.0,-5.0,3037
1985-01-26,75.0,75.0,75.0,,16,,,,,1985.0,1.0,26.0,-4.0,3037
1985-01-27,69.0,69.0,69.0,,16,,,,,1985.0,1.0,27.0,-6.0,3037
1985-01-28,62.0,62.0,62.0,,16,,,,,1985.0,1.0,28.0,-7.0,3037
1985-01-29,57.0,57.0,57.0,,16,,,,,1985.0,1.0,29.0,-5.0,3037
1985-01-30,54.0,54.0,54.0,,16,,,,,1985.0,1.0,30.0,-3.0,3037
1985-01-31,52.0,52.0,52.0,,16,106.0,27.0,1.0,,1985.0,1.0,31.0,-2.0,3037
1985-02-01,48.0,48.0,48.0,,16,,,,,1985.0,2.0,32.0,-4.0,3037
1985-02-02,46.0,46.0,46.0,,16,,,,,1985.0,2.0,33.0,-2.0,3037
1985-02-03,44.0,44.0,44.0,,16,,,,,1985.0,2.0,34.0,-2.0,3037
1985-02-04,43.0,43.0,43.0,,16,,,,,1985.0,2.0,35.0,-1.0,3037
1985-02-05,41.0,41.0,41.0,,16,,,,,1985.0,2.0,36.0,-2.0,3037
1985-02-06,40.0,40.0,40.0,,16,,,,,1985.0,2.0,37.0,-1.0,3037
1985-02-07,40.0,40.0,40.0,,16,,,,,1985.0,2.0,38.0,0.0,3037
1985-02-08,39.0,39.0,39.0,,16,,,,,1985.0,2.0,39.0,-1.0,3037
1985-02-09,39.0,39.0,39.0,,16,,,,,1985.0,2.0,40.0,0.0,3037
1985-02-10,38.0,38.0,38.0,,16,115.0,29.0,1.0,,1985.0,2.0,41.0,-1.0,3037
1985-02-11,38.0,38.0,38.0,,16,,,,,1985.0,2.0,42.0,0.0,3037
1985-02-12,38.0,38.0,38.0,,16,,,,,1985.0,2.0,43.0,0.0,3037
1985-02-13,37.0,37.0,37.0,,16,,,,,1985.0,2.0,44.0,-1.0,3037
1985-02-14,37.0,37.0,37.0,,16,,,,,1985.0,2.0,45.0,0.0,3037
1985-02-15,37.0,37.0,37.0,,16,,,,,1985.0,2.0,46.0,0.0,3037
1985-02-16,36.0,36.0,36.0,,16,,,,,1985.0,2.0,47.0,-1.0,3037
1985-02-17,36.0,36.0,36.0,,16,,,,,1985.0,2.0,48.0,0.0,3037
1985-02-18,35.0,35.0,35.0,,16,,,,,1985.0,2.0,49.0,-1.0,3037
1985-02-19,35.0,35.0,35.0,,16,,,,,1985.0,2.0,50.0,0.0,3037
1985-02-20,35.0,35.0,35.0,,16,120.0,31.0,1.0,,1985.0,2.0,51.0,0.0,3037
1985-02-21,35.0,35.0,35.0,,16,,,,,1985.0,2.0,52.0,0.0,3037
1985-02-22,35.0,35.0,35.0,,16,,,,,1985.0,2.0,53.0,0.0,3037
1985-02-23,35.0,35.0,35.0,,16,,,,,1985.0,2.0,54.0,0.0,3037
1985-02-24,35.0,35.0,35.0,,16,,,,,1985.0,2.0,55.0,0.0,3037
1985-02-25,34.0,34.0,34.0,,16,,,,,1985.0,2.0,56.0,-1.0,3037
1985-02-26,34.0,34.0,34.0,,16,,,,,1985.0,2.0,57.0,0.0,3037
1985-02-27,34.0,34.0,34.0,,16,,,,,1985.0,2.0,58.0,0.0,3037
1985-02-28,34.0,34.0,34.0,,16,122.0,32.0,1.0,,1985.0,2.0,59.0,0.0,3037
