date,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place,discharge,year,month,day,delta_stage_max,station_id
1985-01-01,-23.0,-23.0,-23.0,0.2939068849054838,16,,,,,1985.0,1.0,1.0,,3019
1985-01-02,-23.0,-23.0,-23.0,0.29393911697639474,16,,,,,1985.0,1.0,2.0,0.0,3019
1985-01-03,-23.0,-23.0,-23.0,0.2938585367991191,16,,,,,1985.0,1.0,3.0,0.0,3019
1985-01-04,-24.0,-24.0,-24.0,0.29371349248002065,16,,,,,1985.0,1.0,4.0,-1.0,3019
1985-01-05,-24.0,-24.0,-24.0,0.2934314618595515,16,53.0,29.0,1.0,,1985.0,1.0,5.0,0.0,3019
1985-01-06,-24.0,-24.0,-24.0,0.293149431239085,16,,,,,1985.0,1.0,6.0,0.0,3019
1985-01-07,-24.0,-24.0,-24.0,0.29285934260089075,16,,,,,1985.0,1.0,7.0,0.0,3019
1985-01-08,-24.0,-24.0,-24.0,0.2925047898208746,16,,,,,1985.0,1.0,8.0,0.0,3019
1985-01-09,-24.0,-24.0,-24.0,0.29211800496994744,16,,,,,1985.0,1.0,9.0,0.0,3019
1985-01-10,-24.0,-24.0,-24.0,0.2916345239062892,16,55.0,31.0,1.0,,1985.0,1.0,10.0,0.0,3019
1985-01-11,-24.0,-24.0,-24.0,0.2912557970730898,16,,,,,1985.0,1.0,11.0,0.0,3019
1985-01-12,-24.0,-24.0,-24.0,0.2909334763639846,16,,,,,1985.0,1.0,12.0,0.0,3019
1985-01-13,-24.0,-24.0,-24.0,0.290723967903066,16,,,,,1985.0,1.0,13.0,0.0,3019
1985-01-14,-25.0,-25.0,-24.0,0.29054669151305657,16,,,,,1985.0,1.0,14.0,0.0,3019
1985-01-15,-26.0,-26.0,-25.0,0.2904258212471431,16,56.0,32.0,1.0,,1985.0,1.0,15.0,-1.0,3019
1985-01-16,-26.0,-26.0,-26.0,0.2903130089989556,16,,,,,1985.0,1.0,16.0,-1.0,3019
1985-01-17,-26.0,-26.0,-26.0,0.2901599066621303,16,,,,,1985.0,1.0,17.0,0.0,3019
1985-01-18,-26.0,-26.0,-26.0,0.2898778760416647,16,,,,,1985.0,1.0,18.0,0.0,3019
1985-01-19,-27.0,-27.0,-26.0,0.2895716713680132,16,,,,,1985.0,1.0,19.0,0.0,3019
1985-01-20,-27.0,-27.0,-27.0,0.28925740867663574,16,50.0,36.0,1.0,,1985.0,1.0,20.0,-1.0,3019
1985-01-21,-27.0,-27.0,-27.0,0.28893508796752965,16,,,,,1985.0,1.0,21.0,0.0,3019
1985-01-22,-27.0,-27.0,-27.0,0.28859665122296896,16,,,,,1985.0,1.0,22.0,0.0,3019
1985-01-23,-27.0,-27.0,-27.0,0.2882420984429528,16,,,,,1985.0,1.0,23.0,0.0,3019
