,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place,discharge,year,month,day,delta_stage_max,station_id
1985-01-01,182.0,182.0,182.0,,16,,,,,1985.0,1.0,1.0,,3555
1985-01-02,188.0,188.0,188.0,,16,,,,,1985.0,1.0,2.0,6.0,3555
1985-01-03,193.0,193.0,193.0,,16,,,,,1985.0,1.0,3.0,5.0,3555
1985-01-04,197.0,197.0,197.0,,16,,,,,1985.0,1.0,4.0,4.0,3555
1985-01-05,197.0,197.0,197.0,,16,,,,,1985.0,1.0,5.0,0.0,3555
1985-01-06,197.0,197.0,197.0,,16,,,,,1985.0,1.0,6.0,0.0,3555
1985-01-07,197.0,197.0,197.0,,16,,,,,1985.0,1.0,7.0,0.0,3555
1985-01-08,195.0,195.0,195.0,,16,,,,,1985.0,1.0,8.0,-2.0,3555
1985-01-09,202.0,202.0,202.0,,16,,,,,1985.0,1.0,9.0,7.0,3555
1985-01-10,210.0,210.0,210.0,,16,54.0,28.0,1.0,,1985.0,1.0,10.0,8.0,3555
1985-01-11,217.0,217.0,217.0,,16,,,,,1985.0,1.0,11.0,7.0,3555
1985-01-12,215.0,215.0,215.0,,16,,,,,1985.0,1.0,12.0,-2.0,3555
1985-01-13,213.0,213.0,213.0,,16,,,,,1985.0,1.0,13.0,-2.0,3555
1985-01-14,211.0,211.0,211.0,,16,,,,,1985.0,1.0,14.0,-2.0,3555
1985-01-15,218.0,218.0,218.0,,16,,,,,1985.0,1.0,15.0,7.0,3555
1985-01-16,221.0,221.0,221.0,,16,,,,,1985.0,1.0,16.0,3.0,3555
1985-01-17,230.0,230.0,230.0,,16,,,,,1985.0,1.0,17.0,9.0,3555
1985-01-18,237.0,237.0,237.0,,16,,,,,1985.0,1.0,18.0,7.0,3555
1985-01-19,235.0,235.0,235.0,,16,,,,,1985.0,1.0,19.0,-2.0,3555
1985-01-20,235.0,235.0,235.0,,16,55.0,30.0,1.0,,1985.0,1.0,20.0,0.0,3555
1985-01-21,235.0,235.0,235.0,,16,,,,,1985.0,1.0,21.0,0.0,3555
1985-01-22,236.0,236.0,236.0,,16,,,,,1985.0,1.0,22.0,1.0,3555
1985-01-23,235.0,235.0,235.0,,16,,,,,1985.0,1.0,23.0,-1.0,3555
1985-01-24,235.0,235.0,235.0,,16,,,,,1985.0,1.0,24.0,0.0,3555
1985-01-25,233.0,233.0,233.0,,16,,,,,1985.0,1.0,25.0,-2.0,3555
1985-01-26,231.0,231.0,231.0,,16,,,,,1985.0,1.0,26.0,-2.0,3555
