x;Height_m
0.0;174.0
210.9485874653169;174.0
421.8971749306338;173.0
632.8457623959507;172.0
843.7943498612676;172.0
1054.7429373265845;171.0
1265.6915247919014;171.0
1476.6401122572183;170.0
1687.5886997225352;168.0
1898.5372871878521;165.0
2109.485874653169;163.0
2320.434462118486;161.0
2531.383049583803;160.0
2742.3316370491198;160.0
2953.2802245144367;160.0
3164.2288119797536;160.0
3375.1773994450705;160.0
3586.1259869103874;160.0
3797.0745743757043;159.0
4008.023161841021;159.0
4218.971749306338;160.0
4429.920336771655;161.0
4640.868924236972;158.0
4851.817511702289;152.0
5062.766099167606;149.0
5273.714686632922;146.0
5484.6632740982395;142.0
5695.611861563557;143.0
5906.560449028873;146.0
6117.50903649419;148.0
6328.457623959507;152.0
6539.4062114248245;157.0
6750.354798890141;160.0
6961.303386355457;160.0
7172.251973820775;160.0
7383.200561286092;160.0
7594.149148751409;160.0
7805.097736216725;160.0
8016.046323682042;160.0
8226.99491114736;160.0
8437.943498612676;160.0
8648.892086077993;160.0
8859.84067354331;161.0
9070.789261008627;161.0
9281.737848473944;161.0
9492.68643593926;159.0
9703.635023404579;158.0
9914.583610869895;157.0
10125.532198335211;155.0
10336.480785800528;152.0
10547.429373265844;148.0
10758.377960731163;141.0
10969.326548196479;139.0
11180.275135661796;133.0
11391.223723127114;125.0
11602.17231059243;119.0
11813.120898057747;117.0
12024.069485523063;115.0
12235.01807298838;113.0
12445.966660453698;111.0
12656.915247919014;109.0
12867.86383538433;107.0
13078.812422849649;105.0
13289.761010314965;103.0
13500.709597780282;102.0
13711.658185245598;101.0
13922.606772710915;100.0
14133.555360176233;99.0
14344.50394764155;98.0
14555.452535106866;98.0
14766.401122572184;99.0
14977.3497100375;99.0
15188.298297502817;99.0
15399.246884968134;100.0
15610.19547243345;99.0
15821.144059898768;99.0
16032.092647364085;99.0
16243.041234829401;97.0
16453.98982229472;96.0
16664.938409760034;95.0
16875.886997225352;93.0
17086.83558469067;91.0
17297.784172155985;90.0
17508.732759621304;88.0
17719.68134708662;87.0
17930.629934551936;85.0
18141.578522017255;84.0
18352.52710948257;84.0
18563.475696947888;82.0
18774.424284413206;81.0
18985.37287187852;80.0
19196.32145934384;80.0
19407.270046809157;80.0
19618.21863427447;80.0
19829.16722173979;80.0
20040.115809205105;80.0
20251.064396670423;80.0
20462.01298413574;80.0
20672.961571601056;80.0
20883.910159066374;80.0
21094.85874653169;80.0
21305.807333997007;80.0
21516.755921462325;80.0
21727.70450892764;80.0
21938.653096392958;80.0
22149.601683858276;80.0
22360.55027132359;80.0
22571.49885878891;80.0
22782.447446254228;80.0
22993.396033719542;80.0
23204.34462118486;80.0
23415.293208650175;80.0
23626.241796115493;80.0
23837.19038358081;80.0
24048.138971046126;80.0
24259.087558511445;80.0
24470.03614597676;80.0
24680.984733442077;80.0
24891.933320907396;80.0
25102.88190837271;80.0
25313.83049583803;80.0
25524.779083303347;80.0
25735.72767076866;80.0
25946.67625823398;80.0
26157.624845699298;80.0
26368.573433164613;80.0
26579.52202062993;80.0
26790.470608095246;80.0
27001.419195560564;80.0
27212.367783025882;80.0
27423.316370491197;80.0
27634.264957956515;80.0
27845.21354542183;80.0
28056.162132887148;79.0
28267.110720352466;79.0
28478.05930781778;78.0
28689.0078952831;78.0
28899.956482748417;78.0
29110.905070213732;78.0
29321.85365767905;79.0
29532.80224514437;79.0
29743.750832609683;79.0
29954.699420075;80.0
30165.648007540316;80.0
30376.596595005634;80.0
30587.545182470953;80.0
30798.493769936267;80.0
31009.442357401585;80.0
31220.3909448669;80.0
31431.33953233222;80.0
31642.288119797537;80.0
31853.23670726285;80.0
32064.18529472817;80.0
32275.133882193488;80.0
32486.082469658802;80.0
32697.03105712412;80.0
32907.97964458944;80.0
33118.92823205476;80.0
33329.87681952007;80.0
33540.82540698539;80.0
33751.773994450705;80.0
33962.72258191602;80.0
34173.67116938134;80.0
34384.61975684665;80.0
34595.56834431197;80.0
34806.51693177729;80.0
35017.46551924261;80.0
35228.414106707925;80.0
35439.36269417324;80.0
35650.311281638555;80.0
35861.25986910387;80.0
36072.20845656919;80.0
36283.15704403451;79.0
36494.10563149983;79.0
36705.05421896514;79.0
36916.00280643046;79.0
37126.951393895775;79.0
37337.89998136109;79.0
37548.84856882641;79.0
37759.79715629172;78.0
37970.74574375704;78.0
38181.69433122236;78.0
38392.64291868768;78.0
38603.591506152996;79.0
38814.540093618314;79.0
39025.488681083625;79.0
39236.43726854894;79.0
39447.38585601426;79.0
39658.33444347958;79.0
39869.2830309449;80.0
40080.23161841021;81.0
40291.18020587553;84.0
40502.128793340846;82.0
