date,snow_coverage_station,snow_height,station_id
1985-01-01,10.0,56.5,3030
1985-01-02,10.0,57.0,3030
1985-01-03,10.0,57.0,3030
1985-01-04,10.0,57.0,3030
1985-01-05,10.0,56.5,3030
1985-01-06,10.0,56.5,3030
1985-01-07,10.0,57.5,3030
1985-01-08,10.0,58.0,3030
1985-01-09,10.0,58.0,3030
1985-01-10,10.0,58.0,3030
1985-01-11,10.0,58.5,3030
1985-01-12,10.0,57.5,3030
1985-01-13,10.0,57.5,3030
1985-01-14,10.0,58.5,3030
1985-01-15,10.0,58.5,3030
1985-01-16,10.0,59.0,3030
1985-01-17,10.0,59.5,3030
1985-01-18,10.0,59.5,3030
1985-01-19,10.0,60.0,3030
1985-01-20,10.0,60.0,3030
1985-01-21,10.0,60.0,3030
1985-01-22,10.0,60.5,3030
1985-01-23,10.0,60.5,3030
1985-01-24,10.0,60.5,3030
1985-01-25,10.0,60.0,3030
1985-01-26,10.0,60.0,3030
1985-01-27,10.0,60.0,3030
1985-01-28,10.0,60.0,3030
1985-01-29,10.0,60.5,3030
1985-01-30,10.0,63.0,3030
1985-01-31,10.0,63.5,3030
1985-02-01,10.0,63.5,3030
1985-02-02,10.0,63.5,3030
1985-02-03,10.0,63.0,3030
1985-02-04,10.0,63.0,3030
1985-02-05,10.0,63.0,3030
1985-02-06,10.0,63.5,3030
1985-02-07,10.0,63.5,3030
1985-02-08,10.0,63.5,3030
1985-02-09,10.0,63.5,3030
1985-02-10,10.0,63.5,3030
1985-02-11,10.0,63.5,3030
1985-02-12,10.0,63.5,3030
1985-02-13,10.0,63.0,3030
1985-02-14,10.0,63.0,3030
1985-02-15,10.0,64.0,3030
1985-02-16,10.0,65.0,3030
1985-02-17,10.0,65.0,3030
1985-02-18,10.0,65.5,3030
1985-02-19,10.0,65.5,3030
1985-02-20,10.0,66.0,3030
1985-02-21,10.0,66.0,3030
1985-02-22,10.0,66.5,3030
1985-02-23,10.0,67.0,3030
1985-02-24,10.0,67.0,3030
1985-02-25,10.0,67.0,3030
1985-02-26,10.0,67.5,3030
1985-02-27,10.0,67.5,3030
1985-02-28,10.0,67.5,3030
1985-03-01,10.0,67.0,3030
1985-03-02,10.0,67.0,3030
1985-03-03,10.0,68.5,3030
1985-03-04,10.0,72.5,3030
1985-03-05,10.0,73.5,3030
1985-03-06,10.0,74.0,3030
1985-03-07,10.0,74.0,3030
1985-03-08,10.0,74.0,3030
1985-03-09,10.0,74.0,3030
1985-03-10,10.0,74.0,3030
1985-03-11,10.0,74.0,3030
1985-03-12,10.0,74.0,3030
1985-03-13,10.0,75.0,3030
1985-03-14,10.0,75.0,3030
1985-03-15,10.0,74.0,3030
1985-03-16,10.0,74.5,3030
1985-03-17,10.0,74.5,3030
1985-03-18,10.0,75.0,3030
1985-03-19,10.0,75.0,3030
1985-03-20,10.0,75.0,3030
1985-03-21,10.0,75.0,3030
1985-03-22,10.0,75.5,3030
1985-03-23,10.0,76.0,3030
1985-03-24,10.0,76.0,3030
1985-03-25,10.0,76.0,3030
1985-03-26,10.0,75.5,3030
1985-03-27,10.0,77.0,3030
1985-03-28,10.0,75.5,3030
1985-03-29,10.0,75.5,3030
1985-03-30,10.0,75.5,3030
1985-03-31,10.0,77.0,3030
1985-04-01,10.0,75.5,3030
1985-04-02,10.0,75.5,3030
1985-04-03,10.0,77.0,3030
1985-04-04,10.0,75.5,3030
1985-04-05,10.0,75.5,3030
1985-04-06,10.0,74.5,3030
1985-04-07,10.0,75.5,3030
1985-04-08,10.0,75.5,3030
1985-04-09,10.0,75.5,3030
1985-04-10,10.0,75.5,3030
1985-04-11,10.0,75.5,3030
1985-04-12,10.0,74.5,3030
1985-04-13,10.0,75.0,3030
1985-04-14,10.0,75.0,3030
1985-04-15,10.0,64.5,3030
1985-04-16,8.5,59.0,3030
1985-04-17,7.0,39.0,3030
1985-04-18,6.5,32.0,3030
1985-04-19,6.5,30.5,3030
1985-04-20,5.5,22.5,3030
1985-04-21,5.0,19.0,3030
1985-04-22,4.5,17.0,3030
1985-04-23,4.5,15.5,3030
1985-04-24,4.5,12.0,3030
1985-04-25,3.5,8.5,3030
1985-04-26,2.5,4.0,3030
1985-04-27,9.5,7.0,3030
1985-04-28,3.0,4.0,3030
1985-04-29,2.0,1.0,3030
1985-04-30,5.5,0.0,3030
1985-05-01,6.5,1.0,3030
1985-05-02,2.0,0.0,3030
1985-05-03,1.5,0.0,3030
1985-05-04,1.5,0.0,3030
1985-05-05,0.5,0.0,3030
1985-05-06,0.5,0.0,3030
1985-05-07,0.5,0.0,3030
1985-05-08,5.5,1.5,3030
1985-05-09,5.5,0.5,3030
1985-05-10,2.0,0.0,3030
1985-05-11,1.5,0.0,3030
1985-05-12,2.0,0.0,3030
1985-05-13,0.0,0.0,3030
1985-05-14,0.0,0.0,3030
1985-05-15,0.0,0.0,3030
1985-05-16,0.0,0.0,3030
1985-05-17,0.0,0.0,3030
1985-05-18,0.0,0.0,3030
1985-05-19,0.0,0.0,3030
1985-05-20,0.0,0.0,3030
1985-05-21,0.0,0.0,3030
1985-05-22,0.0,0.0,3030
1985-05-23,0.0,0.0,3030
1985-05-24,0.0,0.0,3030
1985-05-25,0.0,0.0,3030
1985-05-26,0.0,0.0,3030
1985-05-27,0.0,0.0,3030
1985-05-28,0.0,0.0,3030
1985-05-29,0.0,0.0,3030
1985-05-30,0.0,0.0,3030
1985-05-31,0.0,0.0,3030
1985-06-01,0.0,0.0,3030
1985-06-02,0.0,0.0,3030
1985-06-03,0.0,0.0,3030
1985-06-04,0.0,0.0,3030
1985-06-05,0.0,0.0,3030
1985-06-06,0.0,0.0,3030
1985-06-07,0.0,0.0,3030
1985-06-08,0.0,0.0,3030
1985-06-09,0.0,0.0,3030
1985-06-10,0.0,0.0,3030
1985-06-11,0.0,0.0,3030
1985-06-12,0.0,0.0,3030
1985-06-13,0.0,0.0,3030
1985-06-14,0.0,0.0,3030
