snow_height,snow_coverage_station,station_id,date
57.0,10.0,3029,1985-01-01
58.0,10.0,3029,1985-01-02
58.5,10.0,3029,1985-01-03
58.5,10.0,3029,1985-01-04
58.0,10.0,3029,1985-01-05
58.0,10.0,3029,1985-01-06
60.5,10.0,3029,1985-01-07
60.5,10.0,3029,1985-01-08
60.5,10.0,3029,1985-01-09
60.5,10.0,3029,1985-01-10
61.0,10.0,3029,1985-01-11
60.5,10.0,3029,1985-01-12
60.5,10.0,3029,1985-01-13
61.5,10.0,3029,1985-01-14
61.5,10.0,3029,1985-01-15
62.0,10.0,3029,1985-01-16
63.5,10.0,3029,1985-01-17
63.5,10.0,3029,1985-01-18
64.5,10.0,3029,1985-01-19
65.5,10.0,3029,1985-01-20
66.0,10.0,3029,1985-01-21
66.5,10.0,3029,1985-01-22
66.5,10.0,3029,1985-01-23
66.5,10.0,3029,1985-01-24
66.5,10.0,3029,1985-01-25
66.5,10.0,3029,1985-01-26
66.5,10.0,3029,1985-01-27
66.5,10.0,3029,1985-01-28
68.0,10.0,3029,1985-01-29
72.0,10.0,3029,1985-01-30
72.5,10.0,3029,1985-01-31
72.5,10.0,3029,1985-02-01
72.5,10.0,3029,1985-02-02
72.0,10.0,3029,1985-02-03
72.5,10.0,3029,1985-02-04
72.5,10.0,3029,1985-02-05
72.5,10.0,3029,1985-02-06
72.5,10.0,3029,1985-02-07
72.5,10.0,3029,1985-02-08
72.5,10.0,3029,1985-02-09
72.5,10.0,3029,1985-02-10
72.5,10.0,3029,1985-02-11
72.5,10.0,3029,1985-02-12
72.5,10.0,3029,1985-02-13
72.5,10.0,3029,1985-02-14
73.0,10.0,3029,1985-02-15
73.5,10.0,3029,1985-02-16
73.5,10.0,3029,1985-02-17
74.0,10.0,3029,1985-02-18
74.0,10.0,3029,1985-02-19
74.5,10.0,3029,1985-02-20
74.5,10.0,3029,1985-02-21
74.5,10.0,3029,1985-02-22
74.5,10.0,3029,1985-02-23
74.5,10.0,3029,1985-02-24
74.5,10.0,3029,1985-02-25
74.5,10.0,3029,1985-02-26
74.5,10.0,3029,1985-02-27
74.5,10.0,3029,1985-02-28
74.5,10.0,3029,1985-03-01
74.5,10.0,3029,1985-03-02
74.5,10.0,3029,1985-03-03
73.0,10.0,3029,1985-03-04
72.5,10.0,3029,1985-03-05
71.5,10.0,3029,1985-03-06
72.0,10.0,3029,1985-03-07
