date,stage_max_amplitude,stage_max_mean,snow_coverage_station_amplitude,snow_height_mean,snow_height_amplitude,water_hazard_sum,1_day,2_day,3_day,4_day,5_day,6_day,7_day
1985-01-01,0.0,59.0,0.0,28.5,0.0,0,58.0,57.0,55.0,53.0,52.0,51.0,51.0
1985-01-02,1.0,58.5,0.0,28.5,0.0,0,57.0,55.0,53.0,52.0,51.0,51.0,50.0
1985-01-03,2.0,58.0,0.0,28.5,0.0,0,55.0,53.0,52.0,51.0,51.0,50.0,50.0
1985-01-04,4.0,57.25,0.0,28.5,0.0,0,53.0,52.0,51.0,51.0,50.0,50.0,49.0
1985-01-05,6.0,56.4,0.0,28.5,0.0,0,52.0,51.0,51.0,50.0,50.0,49.0,48.0
1985-01-06,7.0,55.0,0.0,28.583333333333332,-0.5,0,51.0,51.0,50.0,50.0,49.0,48.0,46.0
1985-01-07,8.0,53.6,0.0,28.642857142857142,-0.5,0,51.0,50.0,50.0,49.0,48.0,46.0,45.0
1985-01-08,8.0,52.4,0.0,28.875,-2.0,0,50.0,50.0,49.0,48.0,46.0,45.0,45.0
1985-01-09,8.0,51.4,0.0,29.055555555555557,-2.0,0,50.0,49.0,48.0,46.0,45.0,45.0,44.0
1985-01-10,7.0,50.8,0.0,29.2,-2.0,0,49.0,48.0,46.0,45.0,45.0,44.0,44.0
1985-01-11,6.0,50.2,0.0,29.318181818181817,-2.0,0,48.0,46.0,45.0,45.0,44.0,44.0,44.0
1985-01-12,5.0,49.6,0.0,29.416666666666668,-2.0,0,46.0,45.0,45.0,44.0,44.0,44.0,44.0
1985-01-13,6.0,48.6,0.0,29.5,-2.0,0,45.0,45.0,44.0,44.0,44.0,44.0,44.0
1985-01-14,6.0,47.6,0.0,29.571428571428573,-2.0,0,45.0,44.0,44.0,44.0,44.0,44.0,43.0
1985-01-15,6.0,46.6,0.0,29.633333333333333,-2.0,0,44.0,44.0,44.0,44.0,44.0,43.0,43.0
1985-01-16,6.0,45.6,0.0,29.6875,-2.0,0,44.0,44.0,44.0,44.0,43.0,43.0,42.0
1985-01-17,6.0,44.8,0.0,29.84375,-2.5,0,44.0,44.0,44.0,43.0,43.0,42.0,42.0
1985-01-18,5.0,44.4,0.0,30.03125,-3.0,0,44.0,44.0,43.0,43.0,42.0,42.0,41.0
1985-01-19,4.0,44.2,0.0,30.21875,-3.0,0,44.0,43.0,43.0,42.0,42.0,41.0,41.0
1985-01-20,2.0,44.0,0.0,30.40625,-3.0,0,43.0,43.0,42.0,42.0,41.0,41.0,40.0
1985-01-21,2.0,43.8,0.0,30.59375,-3.0,0,43.0,42.0,42.0,41.0,41.0,40.0,40.0
1985-01-22,2.0,43.6,0.0,30.78125,-3.5,0,42.0,42.0,41.0,41.0,40.0,40.0,40.0
1985-01-23,2.0,43.2,0.0,31.0,-4.0,0,42.0,41.0,41.0,40.0,40.0,40.0,40.0
1985-01-24,2.0,42.8,0.0,31.125,-4.0,0,41.0,41.0,40.0,40.0,40.0,40.0,40.0
1985-01-25,3.0,42.2,0.0,31.25,-4.0,0,41.0,40.0,40.0,40.0,40.0,40.0,40.0
1985-01-26,3.0,41.8,0.0,31.375,-4.0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1985-01-27,4.0,41.2,0.0,31.5,-4.0,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1985-01-28,3.0,40.8,0.0,31.65625,-4.5,0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1985-01-29,3.0,40.4,0.0,31.8125,-4.5,0,40.0,40.0,40.0,40.0,40.0,40.0,39.0
1985-01-30,2.0,40.2,0.0,32.0,-5.0,0,40.0,40.0,40.0,40.0,40.0,39.0,39.0
1985-01-31,2.0,40.0,0.0,32.1875,-5.0,0,40.0,40.0,40.0,40.0,39.0,39.0,39.0
1985-02-01,1.0,40.0,0.0,32.375,-5.0,0,40.0,40.0,40.0,39.0,39.0,39.0,38.0
1985-02-02,1.0,40.0,0.0,32.5625,-5.5,0,40.0,40.0,39.0,39.0,39.0,38.0,38.0
1985-02-03,0.0,40.0,0.0,32.71875,-5.5,0,40.0,39.0,39.0,39.0,38.0,38.0,38.0
1985-02-04,0.0,40.0,0.0,32.875,-5.5,0,39.0,39.0,39.0,38.0,38.0,38.0,38.0
1985-02-05,1.0,39.8,0.0,33.03125,-5.0,0,39.0,39.0,38.0,38.0,38.0,38.0,38.0
1985-02-06,1.0,39.6,0.0,33.1875,-5.0,0,39.0,38.0,38.0,38.0,38.0,38.0,38.0
1985-02-07,1.0,39.4,0.0,33.3125,-3.5,0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
1985-02-08,2.0,39.0,0.0,33.46875,-4.5,0,38.0,38.0,38.0,38.0,38.0,38.0,37.0
1985-02-09,2.0,38.6,0.0,33.625,-4.5,0,38.0,38.0,38.0,38.0,38.0,37.0,37.0
1985-02-10,2.0,38.4,0.0,33.78125,-4.5,0,38.0,38.0,38.0,38.0,37.0,37.0,37.0
1985-02-11,2.0,38.2,0.0,33.96875,-5.0,0,38.0,38.0,38.0,37.0,37.0,37.0,37.0
1985-02-12,1.0,38.0,0.0,34.1875,-5.5,0,38.0,38.0,37.0,37.0,37.0,37.0,37.0
1985-02-13,1.0,38.0,0.0,34.40625,-6.0,0,38.0,37.0,37.0,37.0,37.0,37.0,37.0
1985-02-14,1.0,38.0,0.0,34.625,-6.0,0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
1985-02-15,1.0,37.8,0.0,34.875,-7.0,0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
1985-02-16,1.0,37.6,0.0,35.15625,-7.0,0,37.0,37.0,37.0,37.0,37.0,37.0,36.0
1985-02-17,1.0,37.4,0.0,35.5,-7.5,0,37.0,37.0,37.0,37.0,37.0,36.0,36.0
1985-02-18,1.0,37.2,0.0,35.8125,-7.5,0,37.0,37.0,37.0,37.0,36.0,36.0,36.0
1985-02-19,1.0,37.0,0.0,36.21875,-9.0,0,37.0,37.0,37.0,36.0,36.0,36.0,36.0
1985-02-20,1.0,37.0,0.0,36.59375,-8.5,0,37.0,37.0,36.0,36.0,36.0,36.0,36.0
1985-02-21,1.0,37.0,0.0,37.0,-8.5,0,37.0,36.0,36.0,36.0,36.0,36.0,36.0
1985-02-22,0.0,37.0,0.0,37.40625,-8.0,0,36.0,36.0,36.0,36.0,36.0,36.0,35.0
1985-02-23,1.0,36.8,0.0,37.8125,-8.0,0,36.0,36.0,36.0,36.0,36.0,35.0,35.0
1985-02-24,1.0,36.6,0.0,38.15625,-8.0,0,36.0,36.0,36.0,36.0,35.0,35.0,35.0
1985-02-25,1.0,36.4,0.0,38.5,-8.0,0,36.0,36.0,36.0,35.0,35.0,35.0,35.0
1985-02-26,1.0,36.2,0.0,38.84375,-8.0,0,36.0,36.0,35.0,35.0,35.0,35.0,35.0
1985-02-27,1.0,36.0,0.0,39.15625,-7.5,0,36.0,35.0,35.0,35.0,35.0,35.0,35.0
1985-02-28,1.0,36.0,0.0,39.4375,-7.5,0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
1985-03-01,2.0,35.8,0.0,39.71875,-7.5,0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
1985-03-02,1.0,35.6,0.0,40.0,-7.5,0,35.0,35.0,35.0,35.0,35.0,35.0,34.0
1985-03-03,1.0,35.4,0.0,40.21875,-7.5,0,35.0,35.0,35.0,35.0,35.0,34.0,34.0
1985-03-04,1.0,35.2,0.0,40.21875,-4.0,0,35.0,35.0,35.0,35.0,34.0,34.0,34.0
1985-03-05,1.0,35.0,0.0,40.28125,-6.0,0,35.0,35.0,35.0,34.0,34.0,34.0,34.0
1985-03-06,1.0,35.0,0.0,40.34375,-6.0,0,35.0,35.0,34.0,34.0,34.0,34.0,34.0
1985-03-07,1.0,35.0,0.0,40.34375,-6.5,0,35.0,34.0,34.0,34.0,34.0,34.0,34.0
1985-03-08,0.0,35.0,0.0,40.375,-6.5,0,34.0,34.0,34.0,34.0,34.0,34.0,33.0
1985-03-09,1.0,34.8,0.0,40.375,-6.5,0,34.0,34.0,34.0,34.0,34.0,33.0,33.0
1985-03-10,1.0,34.6,0.0,40.375,-5.5,0,34.0,34.0,34.0,34.0,33.0,33.0,33.0
1985-03-11,1.0,34.4,0.0,40.375,-5.5,0,34.0,34.0,34.0,33.0,33.0,33.0,33.0
1985-03-12,1.0,34.2,0.0,40.375,-5.5,0,34.0,34.0,33.0,33.0,33.0,33.0,33.0
