station_id,date,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place,discharge,year,month,day,delta_stage_max
3021,1985-04-10,107.0,106.0,107.0,0.0,16,94.0,27.0,1.0,245.0,1985,4,100,1.0
3021,1985-04-20,132.0,130.0,134.0,0.1,16,87.0,16.0,1.0,281.0,1985,4,110,7.0
3021,1986-04-10,113.0,113.0,113.0,0.0,14,86.0,56.0,1.0,280.0,1986,4,100,0.0
3021,1986-04-20,118.0,118.0,118.0,0.0,14,87.0,43.0,1.0,295.0,1986,4,110,0.0
3021,1987-04-10,97.0,97.0,97.0,0.0,14,77.0,47.0,1.0,229.0,1987,4,100,0.0
3021,1987-04-20,105.0,105.0,105.0,0.0,14,81.0,29.0,1.0,223.0,1987,4,110,0.0
3021,1987-04-30,126.0,125.0,127.0,0.0,"16,14",82.0,3.0,1.0,247.0,1987,4,120,4.0
3021,1988-04-10,114.0,113.0,114.0,0.0,14,90.0,50.0,1.0,282.0,1988,4,101,2.0
3021,1988-04-20,131.0,129.0,132.0,0.0,16,86.0,14.0,1.0,321.0,1988,4,111,4.0
3021,1989-04-10,146.0,145.0,146.0,0.0,14,59.0,8.0,1.0,447.0,1989,4,100,2.0
3021,1992-11-20,176.0,176.0,176.0,0.0,16,28.0,10.0,1.0,505.0,1992,11,325,1.0
3021,1992-11-30,177.0,177.0,177.0,0.0,16,32.0,23.0,1.0,545.0,1992,11,335,-1.0
3021,1993-11-30,193.0,193.0,193.0,0.0,15,25.0,19.0,1.0,552.0,1993,11,334,1.0
3021,1997-04-10,112.0,111.0,113.0,0.0,16,62.0,10.0,1.0,385.0,1997,4,100,3.0
3021,1999-11-30,204.0,203.0,204.0,0.0,16,10.0,6.0,1.0,512.0,1999,11,334,-2.0
3021,2000-04-10,108.0,108.0,108.0,0.0,46,74.0,41.0,1.0,306.0,2000,4,101,1.0
3021,2000-04-20,142.0,141.0,143.0,0.0,46,72.0,30.0,1.0,347.0,2000,4,111,4.0
3021,2001-04-10,125.0,124.0,125.0,0.0,16,96.0,52.0,1.0,316.0,2001,4,100,3.0
3021,2001-04-20,140.0,139.0,140.0,0.0,16,93.0,41.0,1.0,375.0,2001,4,110,1.0
3021,2007-04-10,124.0,123.0,124.0,0.0,16,52.0,9.0,1.0,268.0,2007,4,100,3.0
